epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9094,1.48028,3.51132,1.9464,0.63305,0.68269,0.72039,0.50717,0.94614,2.58734,1.63039,0.000143606,0.000143606,0.000143606
2,67.4715,1.1908,1.66893,1.63306,0.81013,0.72894,0.84881,0.58545,1.10052,1.55233,1.88566,0.000288588,0.000288588,0.000288588
3,97.908,1.17626,1.46607,1.62448,0.57966,0.68567,0.68254,0.41314,1.29724,1.99588,1.99049,0.0004335,0.0004335,0.0004335
4,128.283,1.16669,1.37879,1.6117,0.71215,0.86014,0.90439,0.63708,1.04787,1.13014,1.72711,0.000434761,0.000434761,0.000434761
5,158.676,1.15975,1.31238,1.60719,0.77939,0.78282,0.84254,0.62948,0.92723,1.20017,1.58384,0.000434575,0.000434575,0.000434575
6,189.029,1.12994,1.24105,1.57606,0.7012,0.71756,0.82185,0.57277,1.06185,1.65498,1.75163,0.000434336,0.000434336,0.000434336
7,219.406,1.09707,1.14509,1.55628,0.76735,0.68713,0.75438,0.52039,1.02973,1.37957,1.71388,0.000434044,0.000434044,0.000434044
8,249.789,1.11343,1.13797,1.5676,0.81785,0.78705,0.87398,0.64071,0.9831,1.2248,1.68138,0.0004337,0.0004337,0.0004337
9,280.174,1.06478,1.10002,1.52288,0.89283,0.87927,0.96315,0.71054,0.97921,0.73259,1.65054,0.000433302,0.000433302,0.000433302
10,310.545,1.05979,1.10245,1.5295,0.89316,0.84967,0.93894,0.68991,0.93865,0.79703,1.59434,0.000432852,0.000432852,0.000432852
11,340.892,1.037,1.01483,1.49618,0.87704,0.94039,0.97601,0.7616,0.81947,0.68631,1.46957,0.000432349,0.000432349,0.000432349
12,371.283,1.0347,1.0347,1.50509,0.91122,0.9547,0.97072,0.7713,0.79433,0.58489,1.41419,0.000431794,0.000431794,0.000431794
13,401.687,1.02786,1.02906,1.50438,0.9357,0.92323,0.97564,0.76557,0.83475,0.59716,1.46803,0.000431186,0.000431186,0.000431186
14,432.049,1.0205,0.97133,1.48769,0.93267,0.948,0.9705,0.76517,0.80636,0.5578,1.47118,0.000430526,0.000430526,0.000430526
15,462.4,1.00429,0.96843,1.47378,0.92475,0.90545,0.96557,0.7094,0.97294,0.63703,1.67416,0.000429814,0.000429814,0.000429814
16,492.796,1.00668,0.98336,1.47313,0.88398,0.91396,0.96946,0.73301,0.92194,0.64838,1.58966,0.000429051,0.000429051,0.000429051
17,523.171,0.9871,0.9563,1.47196,0.94962,0.92618,0.9786,0.75797,0.84492,0.54763,1.4529,0.000428235,0.000428235,0.000428235
18,553.521,0.9776,0.93604,1.46246,0.93346,0.9482,0.98243,0.75531,0.86559,0.5496,1.50912,0.000427368,0.000427368,0.000427368
19,583.864,0.9677,0.89855,1.44483,0.94553,0.95809,0.98737,0.7653,0.85158,0.49739,1.48262,0.00042645,0.00042645,0.00042645
20,614.232,0.94315,0.87157,1.43103,0.91444,0.89834,0.95041,0.70811,0.92288,0.65301,1.56929,0.000425481,0.000425481,0.000425481
21,644.548,0.95856,0.8731,1.43652,0.92843,0.93614,0.95605,0.71181,0.8978,0.61805,1.55655,0.000424461,0.000424461,0.000424461
22,674.91,0.93097,0.88145,1.42309,0.94379,0.93567,0.98326,0.76654,0.81186,0.54833,1.41247,0.000423391,0.000423391,0.000423391
23,705.292,0.92943,0.86507,1.42311,0.90921,0.93047,0.96001,0.76369,0.77773,0.58444,1.39369,0.00042227,0.00042227,0.00042227
24,735.665,0.93035,0.85511,1.41705,0.95471,0.93559,0.98629,0.78212,0.81491,0.51009,1.43617,0.000421099,0.000421099,0.000421099
25,766.103,0.92566,0.8376,1.41699,0.94459,0.92934,0.98542,0.78391,0.78961,0.53022,1.38273,0.000419879,0.000419879,0.000419879
26,796.48,0.95493,0.81436,1.42991,0.95026,0.97226,0.98896,0.79859,0.76989,0.49773,1.37342,0.000418609,0.000418609,0.000418609
27,826.887,0.91695,0.79546,1.40978,0.91913,0.92578,0.97439,0.77713,0.78982,0.62304,1.40366,0.000417291,0.000417291,0.000417291
28,857.256,0.91158,0.7998,1.4018,0.91831,0.93535,0.98101,0.77964,0.80653,0.55351,1.41802,0.000415923,0.000415923,0.000415923
29,887.671,0.90955,0.8262,1.3987,0.96339,0.95913,0.98548,0.76697,0.83892,0.48968,1.53687,0.000414507,0.000414507,0.000414507
30,918.064,0.92792,0.81154,1.40982,0.94276,0.95444,0.97522,0.75884,0.80601,0.5105,1.41464,0.000413043,0.000413043,0.000413043
31,948.445,0.89973,0.7978,1.39211,0.94393,0.9564,0.98201,0.77197,0.83462,0.48413,1.44648,0.000411531,0.000411531,0.000411531
32,978.829,0.89245,0.78527,1.3852,0.95653,0.96387,0.98991,0.79902,0.76842,0.4294,1.37407,0.000409972,0.000409972,0.000409972
33,1009.23,0.90804,0.76816,1.39352,0.94493,0.96962,0.98285,0.75131,0.86974,0.52749,1.49551,0.000408366,0.000408366,0.000408366
34,1039.62,0.87873,0.7623,1.38143,0.9742,0.96449,0.97631,0.79898,0.73109,0.43868,1.32271,0.000406713,0.000406713,0.000406713
35,1069.96,0.89267,0.79154,1.39296,0.97137,0.97876,0.99456,0.8177,0.70853,0.40075,1.30352,0.000405014,0.000405014,0.000405014
36,1100.37,0.86593,0.74451,1.36467,0.97415,0.9934,0.993,0.79769,0.75539,0.37814,1.37647,0.00040327,0.00040327,0.00040327
37,1130.76,0.87835,0.75216,1.37436,0.96764,0.97238,0.99201,0.79021,0.76992,0.4332,1.36976,0.00040148,0.00040148,0.00040148
38,1161.1,0.89088,0.76658,1.37942,0.9847,0.98391,0.9942,0.8151,0.72716,0.3786,1.33069,0.000399645,0.000399645,0.000399645
39,1191.48,0.86381,0.72204,1.35642,0.97088,0.97528,0.98764,0.78997,0.79285,0.48853,1.43167,0.000397766,0.000397766,0.000397766
40,1221.84,0.86445,0.74518,1.35617,0.97303,0.96312,0.9915,0.79962,0.73838,0.43481,1.3414,0.000395843,0.000395843,0.000395843
41,1252.18,0.8287,0.70733,1.33699,0.94729,0.9909,0.99327,0.80847,0.7364,0.3836,1.34649,0.000393877,0.000393877,0.000393877
42,1282.55,0.85585,0.74288,1.35761,0.9706,0.93596,0.98903,0.79893,0.77074,0.50317,1.35184,0.000391867,0.000391867,0.000391867
43,1312.92,0.84794,0.71625,1.35018,0.96462,0.97575,0.99072,0.8166,0.71253,0.41629,1.31686,0.000389815,0.000389815,0.000389815
44,1343.31,0.85065,0.71009,1.34356,0.9817,0.97899,0.99451,0.81277,0.71964,0.37804,1.32181,0.000387721,0.000387721,0.000387721
45,1373.65,0.83807,0.71457,1.3424,0.97512,0.96462,0.99156,0.8175,0.70084,0.38696,1.28067,0.000385586,0.000385586,0.000385586
46,1403.97,0.85101,0.71606,1.34656,0.96178,0.96344,0.99057,0.79932,0.73994,0.44527,1.34655,0.000383409,0.000383409,0.000383409
47,1434.29,0.83627,0.69964,1.34022,0.95659,0.96357,0.99087,0.8058,0.73556,0.46344,1.35423,0.000381193,0.000381193,0.000381193
48,1464.65,0.82988,0.70603,1.34816,0.97733,0.98672,0.99376,0.81863,0.72007,0.37301,1.30559,0.000378936,0.000378936,0.000378936
49,1495.06,0.84052,0.71135,1.35422,0.96629,0.96745,0.99146,0.82063,0.69813,0.41102,1.28716,0.00037664,0.00037664,0.00037664
50,1525.44,0.80736,0.67411,1.31661,0.91807,0.93236,0.98206,0.79072,0.7576,0.52834,1.3783,0.000374306,0.000374306,0.000374306
51,1555.8,0.81539,0.66248,1.32325,0.98002,0.95029,0.98916,0.76677,0.83393,0.47655,1.44506,0.000371933,0.000371933,0.000371933
52,1586.19,0.83888,0.66668,1.34547,0.96864,0.9788,0.98736,0.83136,0.66592,0.3695,1.24635,0.000369522,0.000369522,0.000369522
53,1616.59,0.8257,0.67782,1.34217,0.93899,0.96459,0.99209,0.82142,0.69542,0.43344,1.27494,0.000367075,0.000367075,0.000367075
54,1646.95,0.8177,0.67902,1.3413,0.97424,0.93271,0.99029,0.81033,0.72592,0.44168,1.30031,0.000364591,0.000364591,0.000364591
55,1677.28,0.80796,0.66134,1.3201,0.97537,0.96465,0.99186,0.80412,0.75082,0.42304,1.34901,0.000362072,0.000362072,0.000362072
56,1707.65,0.83049,0.66678,1.33274,0.97956,0.98822,0.9947,0.83379,0.67363,0.36246,1.25018,0.000359517,0.000359517,0.000359517
57,1738.06,0.80193,0.6564,1.31504,0.9665,0.96658,0.99447,0.83006,0.67583,0.38869,1.25233,0.000356928,0.000356928,0.000356928
58,1768.41,0.81908,0.66396,1.32593,0.9662,0.98083,0.99211,0.82145,0.69672,0.43144,1.2711,0.000354305,0.000354305,0.000354305
59,1798.74,0.80967,0.66997,1.32429,0.95154,0.95232,0.9706,0.80949,0.69297,0.45093,1.27377,0.000351649,0.000351649,0.000351649
60,1829.12,0.81385,0.65847,1.31517,0.97502,0.96979,0.99446,0.81705,0.69872,0.37199,1.29643,0.00034896,0.00034896,0.00034896
61,1859.43,0.79681,0.6498,1.30993,0.97603,0.98474,0.99336,0.82389,0.67734,0.3738,1.26673,0.00034624,0.00034624,0.00034624
62,1889.72,0.79492,0.63991,1.31078,0.94885,0.95292,0.9809,0.78977,0.76702,0.4669,1.38098,0.000343488,0.000343488,0.000343488
