split,image,family,img_w,img_h,w_px,h_px,area_px2,area_frac,short_side_px,long_side_px,aspect_ratio,coco_size,n_obj_in_image
train,2025_0519_101707_478_JPG,Belostomatidae,640,640,639.5,584.0,373468.0,0.911787,584.0,639.5,1.095,large,1
train,2025_0519_101711_479_JPG,Belostomatidae,640,640,639.44,639.57,408969.72,0.998461,639.44,639.57,0.9998,large,1
train,2025_0519_101813_488_JPG,Belostomatidae,640,640,635.0,626.5,397827.5,0.971259,626.5,635.0,1.0136,large,1
train,2025_0519_102056_492_JPG,Belostomatidae,640,640,622.0,636.0,395592.0,0.965801,622.0,636.0,0.978,large,1
train,2025_0519_102103_494_JPG,Belostomatidae,640,640,638.0,640.0,408320.0,0.996875,638.0,640.0,0.9969,large,1
train,2025_0519_102106_495_JPG,Belostomatidae,640,640,633.5,624.5,395620.75,0.965871,624.5,633.5,1.0144,large,1
train,2025_0519_102734_524_JPG,Belostomatidae,640,640,629.91,627.14,395040.59,0.964455,627.14,629.91,1.0044,large,1
train,2025_0519_102741_526_JPG,Belostomatidae,640,640,600.0,603.0,361800.0,0.883301,600.0,603.0,0.995,large,1
train,2025_0519_102930_532_JPG,Belostomatidae,640,640,633.5,563.0,356660.5,0.870753,563.0,633.5,1.1252,large,1
train,2025_0519_102936_534_JPG,Belostomatidae,640,640,640.0,594.5,380480.0,0.928906,594.5,640.0,1.0765,large,1
train,2025_0519_102956_540_JPG,Belostomatidae,640,640,633.5,567.0,359194.5,0.87694,567.0,633.5,1.1173,large,1
train,2025_0519_103204_551_JPG,Belostomatidae,640,640,620.5,609.5,378194.75,0.923327,609.5,620.5,1.018,large,1
train,2025_0519_103304_557_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_103307_558_JPG,Belostomatidae,640,640,622.0,584.0,363248.0,0.886836,584.0,622.0,1.0651,large,1
train,2025_0519_103311_559_JPG,Belostomatidae,640,640,622.0,586.0,364492.0,0.889873,586.0,622.0,1.0614,large,1
train,2025_0519_103314_560_JPG,Belostomatidae,640,640,624.0,590.5,368472.0,0.89959,590.5,624.0,1.0567,large,1
train,2025_0519_103317_561_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_103413_564_JPG,Belostomatidae,640,640,578.0,575.5,332639.0,0.812107,575.5,578.0,1.0043,large,1
train,2025_0519_103416_565_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_103423_567_JPG,Belostomatidae,640,640,574.5,573.5,329475.75,0.804384,573.5,574.5,1.0017,large,1
train,2025_0519_103432_570_JPG,Belostomatidae,640,640,640.0,640.0,409600.0,1.0,640.0,640.0,1.0,large,1
train,2025_0519_103802_590_JPG,Belostomatidae,640,640,609.5,548.0,334006.0,0.815444,548.0,609.5,1.1122,large,1
