family,n,area_px2_mean,area_px2_median,area_frac_mean,area_frac_median,short_side_px_mean,short_side_px_median,long_side_px_median,aspect_ratio_median,n_small,n_medium,n_large,pct_small,pct_medium,pct_large,short_p5,short_p25,short_p50,short_p75,short_p95
Ampullariidae,204,148446.6803,72742.425,0.3624,0.1776,320.8699,251.76,302.75,0.8189,0,0,204,0.0,0.0,100.0,182.72,207.88,251.76,427.75,566.35
Physidae,166,122355.5651,87539.665,0.2987,0.2137,304.8764,281.435,318.215,1.0137,0,0,166,0.0,0.0,100.0,173.5,211.5,281.44,396.88,497.12
Hyriidae,224,118805.104,106238.125,0.2901,0.2594,301.2403,277.38,363.0,0.8398,0,0,224,0.0,0.0,100.0,195.0,238.0,277.38,362.38,460.37
Planorbidae,215,182020.171,128674.93,0.4444,0.3141,361.6931,323.82,413.27,0.8078,0,0,215,0.0,0.0,100.0,204.2,270.75,323.82,451.0,563.64
Chironomidae,167,142401.5356,137600.0,0.3477,0.3359,230.0357,218.0,629.0,2.6935,0,0,167,0.0,0.0,100.0,137.45,187.25,218.0,262.5,364.63
Hirudinidae,112,167653.3646,149486.845,0.4093,0.365,281.5947,266.28,608.75,1.7868,0,0,112,0.0,0.0,100.0,160.15,193.62,266.28,368.0,412.68
Ceratopogonidae,176,171867.1258,157204.075,0.4196,0.3838,299.0011,273.175,573.515,1.9791,0,0,176,0.0,0.0,100.0,170.38,209.5,273.17,369.0,492.77
Noteridae,174,174646.5534,168214.375,0.4264,0.4107,371.6651,371.86,461.25,1.0801,0,0,174,0.0,0.0,100.0,210.8,266.37,371.86,452.5,570.94
Psychodidae,138,191881.2749,187634.0,0.4685,0.4581,353.8446,360.0,538.75,1.4596,0,0,138,0.0,0.0,100.0,227.9,256.0,360.0,427.5,508.68
Ancylidae,160,201373.0984,193228.25,0.4916,0.4717,377.7108,356.5,513.115,1.2612,0,0,160,0.0,0.0,100.0,281.32,313.0,356.5,426.5,534.41
Glossiphoniidae,140,201977.8726,194977.685,0.4931,0.476,367.8166,364.0,520.5,1.4648,0,0,140,0.0,0.0,100.0,256.0,306.5,364.0,410.5,543.23
Coenagrionidae,170,260282.0349,247049.0,0.6355,0.6031,418.8934,395.835,632.5,1.4926,0,0,170,0.0,0.0,100.0,300.5,338.88,395.84,486.25,619.05
Hydrophilidae,162,275475.89,251743.455,0.6725,0.6146,447.7273,400.435,625.5,1.3021,0,0,162,0.0,0.0,100.0,235.41,320.0,400.44,605.25,640.0
Miridae,112,290641.4525,274177.75,0.7096,0.6694,517.3854,512.0,554.5,1.0035,0,0,112,0.0,0.0,100.0,429.7,480.25,512.0,544.75,623.73
Notonectidae,107,293491.8538,278412.25,0.7165,0.6797,508.2635,492.0,571.5,0.8961,0,0,107,0.0,0.0,100.0,427.3,470.75,492.0,557.69,622.14
Gerridae,133,322876.0834,335892.5,0.7883,0.82,542.9238,560.5,601.0,1.0437,0,0,133,0.0,0.0,100.0,401.6,501.5,560.5,592.0,640.0
Dytiscidae,156,321322.88,347537.0,0.7845,0.8485,537.4612,566.5,625.0,1.0385,0,0,156,0.0,0.0,100.0,351.88,493.0,566.5,612.25,640.0
Libellulidae,188,359347.1995,354676.25,0.8773,0.8659,585.9987,584.25,615.0,1.0,0,0,188,0.0,0.0,100.0,520.7,562.38,584.25,616.0,640.0
Belostomatidae,128,363674.106,370248.36,0.8879,0.9039,577.5352,586.0,636.75,1.0591,0,0,128,0.0,0.0,100.0,484.5,542.88,586.0,622.62,640.0
