predicha\real,Ampullariidae,Ancylidae,Belostomatidae,Ceratopogonidae,Chironomidae,Coenagrionidae,Dytiscidae,Gerridae,Glossiphoniidae,Hirudinidae,Hydrophilidae,Hyriidae,Libellulidae,Miridae,Noteridae,Notonectidae,Physidae,Planorbidae,Psychodidae,background
Ampullariidae,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancylidae,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belostomatidae,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceratopogonidae,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chironomidae,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Coenagrionidae,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dytiscidae,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerridae,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Glossiphoniidae,0,10,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
Hirudinidae,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
Hydrophilidae,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
Hyriidae,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
Libellulidae,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
Miridae,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
Noteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
Notonectidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Physidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
Planorbidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
Psychodidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
background,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
