familia,n_instancias,area_mediana_px2,frac_cuadro_mediana,lado_menor_mediana_px,aspect_ratio_mediana,elongacion_mediana,pct_small_coco,pct_medium_coco,pct_large_coco,precision_yolo11s,recall_yolo11s,f1_yolo11s,map50_yolo11s,map50_95_yolo11s,precision_yolo12s,recall_yolo12s,f1_yolo12s,map50_yolo12s,map50_95_yolo12s,precision_yolo26s,recall_yolo26s,f1_yolo26s,map50_yolo26s,map50_95_yolo26s,map50_95_mean
Ampullariidae,204,72742,0.1776,251.8,0.819,1.228,0.0,0.0,100.0,0.9937,1.0,0.9968,0.995,0.8836,0.9899,1.0,0.9949,0.995,0.8905,0.9954,1.0,0.9977,0.995,0.8898,0.888
Ancylidae,160,193228,0.4717,356.5,1.261,1.405,0.0,0.0,100.0,1.0,0.4681,0.6377,0.987,0.7927,0.9894,1.0,0.9947,0.995,0.8224,0.9968,1.0,0.9984,0.995,0.8415,0.8189
Belostomatidae,128,370248,0.9039,586.0,1.059,1.063,0.0,0.0,100.0,0.9916,1.0,0.9958,0.995,0.9181,1.0,1.0,1.0,0.995,0.9377,0.9865,1.0,0.9932,0.995,0.9464,0.9341
Ceratopogonidae,176,157204,0.3838,273.2,1.979,2.052,0.0,0.0,100.0,0.9971,1.0,0.9985,0.995,0.7506,1.0,0.9734,0.9865,0.995,0.8234,0.979,1.0,0.9894,0.995,0.7905,0.7882
Chironomidae,167,137600,0.3359,218.0,2.693,2.82,0.0,0.0,100.0,0.9537,0.825,0.8847,0.9578,0.5642,1.0,0.9813,0.9906,0.995,0.633,1.0,0.8894,0.9415,0.9919,0.6013,0.5995
Coenagrionidae,170,247049,0.6031,395.8,1.493,1.57,0.0,0.0,100.0,0.9922,0.9615,0.9766,0.9929,0.9158,0.9949,1.0,0.9974,0.995,0.8819,1.0,0.9942,0.9971,0.995,0.914,0.9039
Dytiscidae,156,347537,0.8485,566.5,1.038,1.079,0.0,0.0,100.0,0.9889,1.0,0.9944,0.995,0.9274,0.9916,1.0,0.9958,0.995,0.9282,0.9728,0.9583,0.9655,0.9934,0.9265,0.9273
Gerridae,133,335892,0.82,560.5,1.044,1.063,0.0,0.0,100.0,0.9896,1.0,0.9948,0.995,0.8927,0.9857,1.0,0.9928,0.995,0.8955,0.9824,1.0,0.9911,0.995,0.9317,0.9066
Glossiphoniidae,140,194978,0.476,364.0,1.465,1.474,0.0,0.0,100.0,0.951,1.0,0.9749,0.995,0.8796,0.9862,1.0,0.993,0.995,0.8983,0.9924,1.0,0.9962,0.995,0.8766,0.8848
Hirudinidae,112,149487,0.365,266.3,1.787,2.165,0.0,0.0,100.0,1.0,0.988,0.9939,0.995,0.8942,0.985,1.0,0.9924,0.995,0.8813,0.953,1.0,0.9759,0.995,0.8804,0.8853
Hydrophilidae,162,251743,0.6146,400.4,1.302,1.484,0.0,0.0,100.0,0.9898,1.0,0.9949,0.995,0.8899,0.9871,1.0,0.9935,0.995,0.9269,1.0,0.8184,0.9001,0.995,0.8952,0.904
Hyriidae,224,106238,0.2594,277.4,0.84,1.215,0.0,0.0,100.0,0.9919,1.0,0.9959,0.995,0.9041,0.9913,1.0,0.9956,0.995,0.9018,0.9981,1.0,0.9991,0.995,0.9079,0.9046
Libellulidae,188,354676,0.8659,584.2,1.0,1.031,0.0,0.0,100.0,0.9909,1.0,0.9954,0.995,0.9206,0.9898,1.0,0.9949,0.995,0.9363,1.0,0.9064,0.9509,0.995,0.9552,0.9373
Miridae,112,274178,0.6694,512.0,1.004,1.044,0.0,0.0,100.0,0.9867,1.0,0.9933,0.995,0.8753,1.0,1.0,1.0,0.995,0.9365,1.0,1.0,1.0,0.995,0.9643,0.9254
Noteridae,174,168214,0.4107,371.9,1.08,1.156,0.0,0.0,100.0,0.9924,1.0,0.9962,0.995,0.887,0.9856,1.0,0.9927,0.995,0.8598,1.0,0.9424,0.9704,0.9939,0.8789,0.8752
Notonectidae,107,278412,0.6797,492.0,0.896,1.123,0.0,0.0,100.0,0.9859,1.0,0.9929,0.995,0.8876,0.9808,1.0,0.9903,0.995,0.921,0.9781,1.0,0.9889,0.995,0.9204,0.9097
Physidae,166,87540,0.2137,281.4,1.014,1.111,0.0,0.0,100.0,0.9927,1.0,0.9963,0.995,0.8812,0.9845,1.0,0.9922,0.995,0.8839,0.9833,1.0,0.9916,0.995,0.868,0.8777
Planorbidae,215,128675,0.3141,323.8,0.808,1.248,0.0,0.0,100.0,0.9921,1.0,0.996,0.995,0.9109,0.9902,1.0,0.9951,0.995,0.9177,0.989,1.0,0.9944,0.995,0.911,0.9132
Psychodidae,138,187634,0.4581,360.0,1.46,1.494,0.0,0.0,100.0,0.9904,1.0,0.9952,0.995,0.8423,0.9881,1.0,0.994,0.995,0.8223,0.9956,1.0,0.9978,0.995,0.8336,0.8327
